name,dataset,nGen,Npos-Nneg/Ntotal,XS,weight,boosted_dataset,globalTag,isData,generator,additionalSelection,run
ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8,/ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL16MiniAODAPVv2-106X_mcRun2_asymptotic_preVFP_v11-v2/MINIAODSIM,4622000,0.501251936,0.2953,1.27E-04,/ttHTobb_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL16MiniAODAPVv2-106X_mcRun2_asymptotic_preVFP_v11-v2/MINIAODSIM,106X_mcRun2_asymptotic_preVFP_v11,FALSE,POWHEG,NONE,2016preVFP
ttHTobb_ttToSemiLep_M125_TuneCP5_13TeV-powheg-pythia8,/ttHTobb_ttToSemiLep_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL16MiniAODAPVv2-106X_mcRun2_asymptotic_preVFP_v11-v2/MINIAODSIM,4994154,0.225212704,0.1298,1.15E-04,/ttHTobb_ttToSemiLep_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL16MiniAODAPVv2-106X_mcRun2_asymptotic_preVFP_v11-v2/MINIAODSIM,106X_mcRun2_asymptotic_preVFP_v11,FALSE,POWHEG,NONE,2016preVFP
ttHTobb_ttTo2L2Nu_M125_TuneCP5_13TeV-powheg-pythia8,/ttHTobb_ttTo2L2Nu_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL16MiniAODAPVv2-106X_mcRun2_asymptotic_preVFP_v11-v2/MINIAODSIM,4998666,0.053953051,0.0314,1.16E-04,/ttHTobb_ttTo2L2Nu_M125_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL16MiniAODAPVv2-106X_mcRun2_asymptotic_preVFP_v11-v2/MINIAODSIM,106X_mcRun2_asymptotic_preVFP_v11,FALSE,POWHEG,NONE,2016preVFP
TTToSemiLeptonic_TuneCP5_PSweights_13TeV-powheg-pythia8,/TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL16MiniAODAPVv2-106X_mcRun2_asymptotic_preVFP_v11-v1/MINIAODSIM ,132178000,301.0089886,365.46,9.19E-06,/TTToSemiLeptonic_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL16MiniAODAPVv2-106X_mcRun2_asymptotic_preVFP_v11-v1/MINIAODSIM ,106X_mcRun2_asymptotic_preVFP_v11,FALSE,POWHEG,NONE,2016preVFP
TTTo2L2Nu_TuneCP5_PSweights_13TeV-powheg-pythia8,/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL16MiniAODAPVv2-106X_mcRun2_asymptotic_preVFP_v11-v1/MINIAODSIM,37505000,72.07778445,88.34,3.27E-05,/TTTo2L2Nu_TuneCP5_13TeV-powheg-pythia8/RunIISummer20UL16MiniAODAPVv2-106X_mcRun2_asymptotic_preVFP_v11-v1/MINIAODSIM,106X_mcRun2_asymptotic_preVFP_v11,FALSE,POWHEG,NONE,2016preVFP
SingleElectronB-ver1,/SingleElectron/Run2016B-ver1_HIPM_UL2016_MiniAODv2-v2/MINIAOD,1422819,1,1,7.03E-04,/SingleElectron/Run2016B-ver1_HIPM_UL2016_MiniAODv2-v2/MINIAOD,106X_dataRun2_v35,TRUE,notSpecified,NONE,2016preVFP
SingleElectronB-ver2,/SingleElectron/Run2016B-ver2_HIPM_UL2016_MiniAODv2-v2/MINIAOD,246440440,1,1,4.06E-06,/SingleElectron/Run2016B-ver2_HIPM_UL2016_MiniAODv2-v2/MINIAOD,106X_dataRun2_v35,TRUE,notSpecified,NONE,2016preVFP
SingleElectronC,/SingleElectron/Run2016C-HIPM_UL2016_MiniAODv2-v2/MINIAOD,97259854,1,1,1.03E-05,/SingleElectron/Run2016C-HIPM_UL2016_MiniAODv2-v2/MINIAOD,106X_dataRun2_v35,TRUE,notSpecified,NONE,2016preVFP
SingleElectronD,/SingleElectron/Run2016D-HIPM_UL2016_MiniAODv2-v2/MINIAOD,148167727,1,1,6.75E-06,/SingleElectron/Run2016D-HIPM_UL2016_MiniAODv2-v2/MINIAOD,106X_dataRun2_v35,TRUE,notSpecified,NONE,2016preVFP
SingleElectronE,/SingleElectron/Run2016E-HIPM_UL2016_MiniAODv2-v5/MINIAOD,117269446,1,1,8.53E-06,/SingleElectron/Run2016E-HIPM_UL2016_MiniAODv2-v5/MINIAOD,106X_dataRun2_v35,TRUE,notSpecified,NONE,2016preVFP
SingleElectronF,/SingleElectron/Run2016F-HIPM_UL2016_MiniAODv2-v2/MINIAOD,61735326,1,1,1.62E-05,/SingleElectron/Run2016F-HIPM_UL2016_MiniAODv2-v2/MINIAOD,106X_dataRun2_v35,TRUE,notSpecified,NONE,2016preVFP
SingleMuonB-ver1,/SingleMuon/Run2016B-ver1_HIPM_UL2016_MiniAODv2-v2/MINIAOD,2789243,1,1,3.59E-04,/SingleMuon/Run2016B-ver1_HIPM_UL2016_MiniAODv2-v2/MINIAOD,106X_dataRun2_v35,TRUE,notSpecified,NONE,2016preVFP
SingleMuonB-ver2,/SingleMuon/Run2016B-ver2_HIPM_UL2016_MiniAODv2-v2/MINIAOD,158145722,1,1,6.32E-06,/SingleMuon/Run2016B-ver2_HIPM_UL2016_MiniAODv2-v2/MINIAOD,106X_dataRun2_v35,TRUE,notSpecified,NONE,2016preVFP
SingleMuonC,/SingleMuon/Run2016C-HIPM_UL2016_MiniAODv2-v2/MINIAOD,67441308,1,1,1.48E-05,/SingleMuon/Run2016C-HIPM_UL2016_MiniAODv2-v2/MINIAOD,106X_dataRun2_v35,TRUE,notSpecified,NONE,2016preVFP
SingleMuonD,/SingleMuon/Run2016D-HIPM_UL2016_MiniAODv2-v2/MINIAOD,98017996,1,1,1.02E-05,/SingleMuon/Run2016D-HIPM_UL2016_MiniAODv2-v2/MINIAOD,106X_dataRun2_v35,TRUE,notSpecified,NONE,2016preVFP
SingleMuonE,/SingleMuon/Run2016E-HIPM_UL2016_MiniAODv2-v2/MINIAOD,90984718,1,1,1.10E-05,/SingleMuon/Run2016E-HIPM_UL2016_MiniAODv2-v2/MINIAOD,106X_dataRun2_v35,TRUE,notSpecified,NONE,2016preVFP
SingleMuonF,/SingleMuon/Run2016F-HIPM_UL2016_MiniAODv2-v2/MINIAOD,57465359,1,1,1.74E-05,/SingleMuon/Run2016F-HIPM_UL2016_MiniAODv2-v2/MINIAOD,106X_dataRun2_v35,TRUE,notSpecified,NONE,2016preVFP
TTHHTo4b_5f_LO_TuneCP5_13TeV_madgraph_pythia8,/TTHHTo4b_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAODAPVv2-106X_mcRun2_asymptotic_preVFP_v11-v2/MINIAODSIM,4950000,1,0.000262872,5.31E-08,/TTHHTo4b_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAODAPVv2-106X_mcRun2_asymptotic_preVFP_v11-v2/MINIAODSIM,106X_mcRun2_asymptotic_preVFP_v11,FALSE,MadGraph,NONE,2016preVFP
TT4b_TuneCP5_13TeV_madgraph_pythia8,/TT4b_TuneCP5_13TeV_madgraph_pythia8/RunIISummer20UL16MiniAODAPVv2-106X_mcRun2_asymptotic_preVFP_v11-v2/MINIAODSIM,4801000,1,0.296,6.17E-05,/TT4b_TuneCP5_13TeV_madgraph_pythia8/RunIISummer20UL16MiniAODAPVv2-106X_mcRun2_asymptotic_preVFP_v11-v2/MINIAODSIM,106X_mcRun2_asymptotic_preVFP_v11,FALSE,MadGraph,NONE,2016preVFP
TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8,/TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8/RunIISummer20UL16MiniAODAPVv2-106X_mcRun2_asymptotic_preVFP_v11-v1/MINIAODSIM,2991789,21.59700859,2.41658109,3.74E-05,/TTbb_4f_TTToSemiLeptonic_TuneCP5-Powheg-Openloops-Pythia8/RunIISummer20UL16MiniAODAPVv2-106X_mcRun2_asymptotic_preVFP_v11-v1/MINIAODSIM,106X_mcRun2_asymptotic_preVFP_v11,FALSE,POWHEG,NONE,2016preVFP
TTbb_4f_TTTo2L2Nu_TuneCP5-Powheg-Openloops-Pythia8,/TTbb_4f_TTTo2L2Nu_TuneCP5-Powheg-Openloops-Pythia8/RunIISummer20UL16MiniAODAPVv2-106X_mcRun2_asymptotic_preVFP_v11-v1/MINIAODSIM,1388348,4.585251847,0.584159455,9.18E-05,/TTbb_4f_TTTo2L2Nu_TuneCP5-Powheg-Openloops-Pythia8/RunIISummer20UL16MiniAODAPVv2-106X_mcRun2_asymptotic_preVFP_v11-v1/MINIAODSIM,106X_mcRun2_asymptotic_preVFP_v11,FALSE,POWHEG,NONE,2016preVFP
TTZZTo4b_5f_LO_TuneCP5_13TeV_madgraph_pythia8,/TTZZTo4b_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAODAPVv2-106X_mcRun2_asymptotic_preVFP_v11-v2/MINIAODSIM,2500000,1,2.27E-05,9.06E-09,/TTZZTo4b_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAODAPVv2-106X_mcRun2_asymptotic_preVFP_v11-v2/MINIAODSIM,106X_mcRun2_asymptotic_preVFP_v11,FALSE,MadGraph,NONE,2016preVFP
TTZZTo4b_5f_LO_TuneCP5_13TeV_madgraph_pythia8_Ext,/TTZZTo4b_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAODAPVv2-106X_mcRun2_asymptotic_preVFP_v11_ext1-v2/MINIAODSIM,2500000,1,2.27E-05,9.06E-09,/TTZZTo4b_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAODAPVv2-106X_mcRun2_asymptotic_preVFP_v11_ext1-v2/MINIAODSIM,106X_mcRun2_asymptotic_preVFP_v11,FALSE,MadGraph,NONE,2016preVFP
TTZToBB_TuneCP5_13TeV-amcatnlo-pythia8,/TTZToBB_TuneCP5_13TeV-amcatnlo-pythia8/RunIISummer20UL16MiniAODAPVv2-106X_mcRun2_asymptotic_preVFP_v11-v2/MINIAODSIM,2894000,0.112302085,0.130032,0.000400096,/TTZToBB_TuneCP5_13TeV-amcatnlo-pythia8/RunIISummer20UL16MiniAODAPVv2-106X_mcRun2_asymptotic_preVFP_v11-v2/MINIAODSIM,106X_mcRun2_asymptotic_preVFP_v11,FALSE,aMC,NONE,2016preVFP
TTZHTo4b_TuneCP5_13TeV-madgraph-pythia8,/TTZHTo4b_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAODAPVv2-106X_mcRun2_asymptotic_preVFP_v11-v2/MINIAODSIM,2496000,1,6.70E-05,2.68E-08,/TTZHTo4b_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAODAPVv2-106X_mcRun2_asymptotic_preVFP_v11-v2/MINIAODSIM,106X_mcRun2_asymptotic_preVFP_v11,FALSE,MadGraph,NONE,2016preVFP
TTZHTo4b_TuneCP5_13TeV-madgraph-pythia8_Ext,/TTZHTo4b_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAODAPVv2-106X_mcRun2_asymptotic_preVFP_v11_ext1-v2/MINIAODSIM,2500000,1,6.71E-05,2.68E-08,/TTZHTo4b_TuneCP5_13TeV-madgraph-pythia8/RunIISummer20UL16MiniAODAPVv2-106X_mcRun2_asymptotic_preVFP_v11_ext1-v2/MINIAODSIM,106X_mcRun2_asymptotic_preVFP_v11,FALSE,MadGraph,NONE,2016preVFP